source,property_id,price,location,size_sqft,year_built,bedrooms,bathrooms,lot_size,property_type,school_score,rental_estimate,price_history,walk_score,transit_score,bike_score
RealtyUS,9574286123,3450.0,"Boston, MA",1491.0,nan,3.0,2.0,1491.0,apartment,2.25,3350.0,"2025-01-15: 3450, 2013-12-28: 2500, 2013-12-19: 2500, 2013-12-13: 400000, 2013-10-20: 389999, 2006-05-10: 390000, 2006-03-29: 399000, 2005-12-12: 419000, 2005-12-01: 419000",N/A,N/A,N/A
RealtyUS,9822944139,4000.0,"Boston, MA",9999.0,nan,4.0,1.0,9999.0,condos,1.7,3350.0,"2025-01-14: 4000, 2023-10-12: 0, 2023-05-04: 4000, 2023-03-17: 0, 2023-03-16: 5730, 2023-03-12: 5550, 2023-03-09: 5700, 2023-03-08: 5575, 2023-03-07: 5550, 2023-03-05: 5625, 2023-03-04: 5700, 2023-03-03: 5625, 2023-03-02: 5700, 2023-03-01: 5650, 2023-02-25: 5700, 2023-02-24: 5900, 2023-02-23: 5950, 2023-02-22: 6125, 2023-02-21: 6150, 2023-02-20: 6050, 2023-02-19: 6125, 2023-02-18: 6075, 2023-02-16: 6275, 2023-02-15: 6200, 2023-02-14: 6150, 2023-02-13: 6325, 2023-02-12: 5625, 2022-12-22: 0, 2022-12-22: 0, 2022-12-21: 5875",N/A,N/A,N/A
RealtyUS,4817953648,4100.0,"Boston, MA",1250.0,1900.0,4.0,2.0,9999.0,apartment,1.7,3350.0,"2025-01-14: 4100, 2024-07-20: 0, 2024-06-20: 0, 2024-06-19: 3800, 2024-06-16: 3900, 2024-06-16: 0, 2024-06-15: 3900, 2024-06-15: 0, 2024-06-14: 0, 2024-06-13: 3900, 2024-06-12: 0, 2024-06-11: 0, 2024-06-11: 0, 2024-06-10: 3900, 2024-06-05: 0, 2024-06-04: 0, 2024-06-04: 3900, 2024-06-03: 3900, 2024-06-03: 0, 2024-05-31: 0, 2024-05-31: 3900, 2024-05-30: 3900, 2024-05-29: 0, 2024-05-29: 3900, 2024-05-22: 0, 2024-05-21: 3950, 2024-05-17: 4000, 2024-05-08: 4100, 2024-05-08: 0, 2024-05-03: 4100, 2024-05-03: 0, 2024-05-01: 0, 2024-04-29: 4100, 2024-04-29: 0, 2024-04-28: 4100, 2024-04-28: 0, 2024-04-25: 0, 2024-04-22: 4100, 2024-04-22: 0, 2024-04-22: 0, 2024-04-21: 0, 2024-04-21: 4100, 2024-04-21: 0, 2024-04-19: 0, 2024-04-19: 4100, 2024-04-16: 4100, 2024-04-16: 0, 2024-04-16: 0, 2024-04-15: 4100, 2024-04-15: 0, 2024-04-15: 0, 2024-04-13: 0, 2024-04-10: 4100, 2024-04-10: 0, 2024-04-10: 0, 2024-04-09: 0, 2024-04-09: 4100, 2024-04-08: 4100, 2024-04-08: 0, 2024-04-07: 0, 2024-04-07: 4100, 2024-04-02: 4100, 2023-05-24: 0, 2023-05-03: 0, 2023-05-03: 3800, 2023-04-28: 0, 2023-04-19: 0, 2023-04-18: 0, 2023-04-17: 3900, 2023-04-17: 0, 2023-04-16: 0, 2023-04-16: 3900, 2023-04-15: 3900, 2023-04-15: 0, 2023-04-14: 0, 2023-04-14: 3900, 2023-04-13: 0, 2023-04-13: 3900, 2023-04-12: 0, 2023-04-12: 0, 2023-04-11: 3900, 2023-04-11: 0, 2023-04-10: 0, 2023-04-10: 3900, 2023-04-08: 0, 2023-04-07: 0, 2023-04-07: 3800, 2023-04-06: 3900, 2023-04-06: 0, 2023-04-05: 0, 2023-04-05: 3900, 2023-04-04: 3900, 2023-04-04: 3900, 2022-04-28: 0, 2022-04-26: 3475, 2014-09-10: 3000, 2014-08-15: 3000, 2014-08-13: 2900, 2014-08-08: 2900, 2014-07-29: 3000",N/A,N/A,N/A
RealtyUS,9561477865,4600.0,"Boston, MA",9999.0,nan,4.0,2.0,9999.0,apartment,1.5,3350.0,"2025-02-01: 4600, 2025-01-10: 4800, 2024-08-15: 3400, 2024-08-08: 3400, 2024-07-29: 3800, 2024-07-16: 4000, 2024-06-24: 4400, 2024-06-04: 4600, 2023-12-21: 4800, 2021-04-22: 0, 2021-04-17: 4100, 2019-04-12: 4000, 2019-03-07: 4000, 2018-07-01: 3800, 2018-06-13: 3800, 2018-06-07: 3800, 2018-06-07: 3800, 2018-06-05: 3800, 2018-06-05: 3800",N/A,N/A,N/A
RealtyUS,9111267132,2624.0,"Boston, MA",1270.0,nan,1.0,1.0,9999.0,apartment,1.4,3350.0,"2025-03-07: 0, 2025-03-01: 2624, 2025-02-28: 0, 2025-02-20: 3073, 2025-02-19: 0, 2025-02-08: 3081, 2025-02-07: 0, 2025-02-04: 2624, 2025-02-01: 2717, 2025-01-30: 2691, 2025-01-29: 2681, 2025-01-29: 0, 2025-01-26: 2719, 2025-01-22: 3103, 2025-01-21: 0, 2025-01-10: 2738, 2025-01-10: 2738, 2025-01-09: 0, 2025-01-04: 3103, 2024-12-27: 0, 2024-12-19: 2738, 2024-12-18: 0, 2024-12-07: 3194, 2024-12-06: 0, 2024-11-27: 2738, 2024-11-26: 0, 2024-11-24: 3172, 2023-09-19: 0, 2023-09-06: 3244, 2023-08-30: 2902, 2023-08-23: 3067, 2023-08-09: 3105, 2022-09-04: 0, 2022-08-21: 2835",N/A,N/A,N/A
RealtyUS,4865435564,3800.0,"Boston, MA",1400.0,nan,4.0,2.0,9999.0,apartment,2.2,3350.0,"2025-02-05: 3800, 2025-01-10: 3900, 2022-05-26: 0, 2022-05-24: 3125, 2022-04-18: 0, 2022-04-16: 3100, 2020-11-29: 0, 2020-11-11: 650, 2020-10-30: 700, 2007-04-01: 1400, 2007-02-02: 1400",N/A,N/A,N/A
RealtyUS,4295177835,4400.0,"Boston, MA",9999.0,nan,4.0,2.0,9999.0,condos,2.2,3350.0,"2025-01-08: 4400, 2021-08-25: 0, 2021-08-20: 3000, 2017-01-13: 2000, 2016-12-04: 2000, 2016-10-31: 2200, 2016-10-15: 2500, 2016-10-14: 2200",N/A,N/A,N/A
RealtyUS,4807350554,3950.0,"Boston, MA",9999.0,nan,3.0,2.0,9999.0,condos,2.2,3350.0,"2025-02-05: 3950, 2025-01-08: 4000, 2024-01-26: 565000, 2023-12-14: 599000, 2023-12-07: 610000, 2015-01-20: 344650, 2014-11-04: 369900, 2014-09-26: 374900, 2014-09-01: 378900, 2014-08-12: 399900, 2014-07-23: 399900",N/A,N/A,N/A
RealtyUS,9403886189,3750.0,"Boston, MA",999.0,nan,3.0,1.0,999.0,apartment,2.2,3350.0,"2025-01-08: 3750, 2024-04-15: 0, 2024-02-12: 3600",N/A,N/A,N/A
RealtyUS,9537026913,3150.0,"Boston, MA",9999.0,nan,3.0,1.0,9999.0,condos,1.7,3350.0,"2025-01-08: 3150, 2023-10-12: 0, 2023-05-04: 3600, 2023-02-10: 0, 2023-02-02: 3625, 2023-01-26: 4325, 2023-01-24: 3975, 2023-01-23: 4000, 2023-01-22: 4050, 2023-01-15: 4025, 2023-01-14: 4050, 2023-01-12: 4025, 2023-01-10: 4650, 2023-01-09: 4675, 2023-01-07: 4650, 2023-01-05: 4725, 2023-01-01: 0, 2022-12-31: 4725, 2022-12-29: 4750, 2022-12-26: 5625, 2022-12-22: 0, 2022-12-22: 0, 2022-12-21: 0, 2022-12-21: 5150, 2022-12-20: 5950, 2022-12-19: 5725, 2022-12-18: 5775, 2022-12-16: 5700, 2022-12-14: 5925, 2022-12-13: 5700, 2022-12-12: 5900, 2022-12-11: 5775, 2022-12-10: 5850, 2022-12-10: 0, 2022-12-09: 5825, 2022-12-09: 6950, 2022-12-07: 5750, 2022-12-07: 7000, 2022-12-06: 5825, 2022-12-06: 6975, 2022-12-05: 5750, 2022-12-04: 5800, 2022-12-03: 5750",N/A,N/A,N/A
