bathrooms,carouselPhotos,has3DModel,propertyType,longitude,livingArea,address,rentZestimate,variableData,priceChange,zestimate,imgSrc,latitude,price,bedrooms,lotAreaValue,hasVideo,lotAreaUnit,listingStatus,zpid,listingSubType,detailUrl,contingentListingType,daysOnZillow,datePriceChanged,country,currency,comingSoonOnMarketDate,hasImage
2,"[{'url': 'https://photos.zillowstatic.com/fp/767b1221f1bea0ab270def46f5307ddb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/997c1d363d99fbbccfb205a0fb067dff-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e3037183b60a5fcd0eea3ed8e0e25924-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/22b2bf4f2f73b683de1316200802f4bd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9ddf27af63edec11f4c3059697ee1ec7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a46478ae07b380adb84e02257d7bdbda-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/162f1bb9c92ca511656c4501f226e9ff-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/efa3c9120ef974b2a1107e93072aed03-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c2e0fb85e6faf621234efc0bd13daf36-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/22f0a56afc75243db546c60169b49a04-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2b8ed4c0e0858e14405d2d8880a3e640-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/92004d883088336b6851aa3ebb37f709-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/31df88787719a7bb64d60ab4b81e9338-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/15ef0e0e765afe5cf07c88679ea7bebb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/42b8419a1aeb8f61b1c2d75e20c279ec-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/765d7b2030552c4c0845699e3494c4af-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6434061bcb175461b784779fb9ecce84-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6c8aa62c45446740cfc64b9793927fcb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/07cc877a22d7370fe124653700983dc9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/38277ea139ef56ba8cc82051e1ae8081-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/514a160e791fb9fb528ebf11fb74896d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1a475007d871fad7a89f8c27e706cff7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6950030f2b2a6b66f901135e0960a38b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e3a31ddb1d397fecff66c2a6da7e2f19-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/eb2333f3417d5edaf90ee56d3bd93e70-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ea8ad334075d023dfbaf6e213a8419ee-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5c2ac7e5c47ff6b641788c3200a7425b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0a9d5c5d04bd11ca11c19bbfd91c58f3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/153199673fc7b600758375b2edd56a8e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1daec5addc8439f982a25542cce459ec-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3f408e82b1fd70eb7d8be198179f2d00-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8ec8ce0c4a198ac01cf814d59e375e16-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a6fb5d3caf30b0c7b8db3298ffc0f35f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/26fd9d7152bfca326828d947c4bff703-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0fa1f954796e7519258c38f0b523c659-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7d13f3da92d622d6991cfb1d940ef0f6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1748cd7d9ee68fd8a9a17d0543810d38-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7d3d4d796a8856906c19fea0758b7095-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5d8e7819c433d14976132989478961a3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/20c50867099f05dc4756ed8d86203fd7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e35dd813029229c9df5844a19e34fa51-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e39d3586145069dc1c277c69cb934dc4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d53b55a133d31b3f746492e1300ed212-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3f11b872b4ea63f4653b9bc6c514d373-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/98af814fd7c0675219c2782c95fa5b55-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/aa0cb51c278a533a78c26bf729a31878-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5bae99da213c73d65274186be26ca004-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d076108ee55d15a40df2331ddf5e08ff-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5e4e9f30ed589d68cef4c6651dc44ed0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d80116afd304e3ac62d651136bedcf32-p_e.jpg'}]",False,SINGLE_FAMILY,-71.474365,1117,"633 Daniel Webster Highway, Merrimack, NH 03054",,,,,https://photos.zillowstatic.com/fp/767b1221f1bea0ab270def46f5307ddb-p_e.jpg,42.887775,550000,4,1.5,False,acres,FOR_SALE,74314662,{'is_FSBA': True},/homedetails/633-Daniel-Webster-Hwy-Merrimack-NH-03054/74314662_zpid/,,65,,USA,USD,,True
1,"[{'url': 'https://photos.zillowstatic.com/fp/0d363d3cb4e0d1f479062c8b7f3fd8d6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/799984cb1df9b7de4490d1c94c4e571f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fb8a8e9f40d84d69af0460bbf5b96b77-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/927089241b89b17a951f02877dbf18ea-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c2dc61ba6d73568961d40daaaf667c06-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6ec368735808b9f55c09edca23d184b6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cef54175fbe97c4dfc9a18a7bb75a0f4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fc710977a46b11995127f71f5fffc57d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/82197a2d32fdfbfcec46f2309065a465-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/095a862d7da27c8b2ae7181240d59f30-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e756d04a1091452bd4df199a2bff6f12-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c5c816a3445dbfda8b1cb915af85fccb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3e5e3d866a8639e6f1f3bc3646ae6a83-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/216ced19bf21b0a1434b447f1f9f4026-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/892b72d24c5d0110a82fb3e737f7d6fb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c91cc84317f690bd06dd6f662c327e6c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b0265486b448c2c3635879eb0f044dbe-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/419a5eb8742f5775f0c8778547b7b8d3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2d1f9a01bbcef5d03f4e8d75b17619a8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fdc567614d9689ca19f152ff89da3c47-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3fb5b5c1f1f59413c837a29ff81b3a8c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6d2c160f787c9f1fc7582da2bd3ebb7d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/555ab40b88bd18c5ed57afc0fba8ad88-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5060be9af01716a6fefff5433b6cefa0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/64073308afb0cc297c39bcbd581e25b1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d94492b3fb7bed43ed53f2fdef976582-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d97d70b143743d565c95d57fe22ff636-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8dabb187ef5e0072a50ab2471c0689e8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f1f05a0057efd586d990b736dd429e1b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c47c9da46ecfc31507f46d9c0b33e943-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/44499cbefec601f6d13e6659a3cd8e86-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/63fa95a35e5d73305b2c2daa1ffac86a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8190c55715421a8dc85b4d90adf996b3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4ec7381925998d6b38103b1bdcc564fa-p_e.jpg'}]",False,SINGLE_FAMILY,-71.53568,806,"186 Naticook Road, Merrimack, NH 03054",1862.0,,-20000.0,392600.0,https://photos.zillowstatic.com/fp/0d363d3cb4e0d1f479062c8b7f3fd8d6-p_e.jpg,42.81257,399900,1,1.28,False,acres,FOR_SALE,120335583,{'is_FSBA': True},/homedetails/186-Naticook-Rd-Merrimack-NH-03054/120335583_zpid/,,35,1739260800000.0,USA,USD,,True
3,"[{'url': 'https://photos.zillowstatic.com/fp/decf3883c426c73e1e5d9cd3ea6fba11-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4f0308a1111310637a7cb92aef54efa0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2af41cda96a27f25f5df5a3ec0844d7e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/04d2dd7b46f6e08c88bc9d1c60202111-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cf63328e8a7a4a285eb8e91dbe109e94-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/56ef982e107a7d4f45438f42216e90e4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0147423cce8a9e44430ba31ae32d1926-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e8c5eae54e006523fcca9aa2c2298d93-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4b510f4b3402ba5856c3fde01aeff33c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b88c944a85f2df8db05e87f7237accb4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5ee9d3a64d8f1feab43cd49e0b097f58-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1d1773b4f154a48acb7adf7828afbf71-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ccb122fbb477bb5b260d1adfe7e502d7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5bd08d69f992b5a8fbf464903fac90bb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/984964a87e7e19e283ecefd7ea7eaeda-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/df67b9bc68cdaac96c3adaa276925b76-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2507f85910759d71df1938930cd6dd7e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b8a1632e3880b40fa70123bae7e481d8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d18def13f67be3b31b072f56189a2a42-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c59ee82d274f503879f817c1087b3bfa-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6c8a926a46dc198af0b419c5d594b931-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2cfc48ecdf64806c15c86c0725466d80-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/17479b010d171597e31572d94faca4ad-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/caa382029e31ae17729e8cb7ad89e7d5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c0624f3ea44516123959139c5c06e0fd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8f1c47be2438f4d91423e5bea2512ef6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8b396479b83d0091ccd4e8f1aadd1e9e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a44b30b10c7e3e4b038e8f7f3b9e7de0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2eae6777b38da7c02b745df2be27d34e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a79a71cb278d7401156e97942d745af6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5d229ba2ee663b927a13db6b48f023bb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/73d6b4cfc314a940a6fe30a764afca33-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a784a7c85688ba41740d71b9bbcc8611-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/91566f0b9cd873f163641b1cac283f3b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a789828d89c4525bbd3b40d98ec38d78-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ac98b7951035a287ae7c4759a382f47f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e99efe9750126253dbc40dcf79a7436e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f2d34cda857811562ebb220e4ad5fa3f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/92517cedc056bb675ea262e21ed6f8c4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a97581721e2a1e544d08550cb41db659-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9aa688f803876ffdac5a0980d7f7c62c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7ae96c85db0c06c4c35f3696ab448a24-p_e.jpg'}]",False,SINGLE_FAMILY,-71.51126,2494,"19 Scotchpine Ln, Merrimack, NH 03054",3361.0,,-25000.0,687600.0,https://photos.zillowstatic.com/fp/decf3883c426c73e1e5d9cd3ea6fba11-p_e.jpg,42.847336,689900,4,0.25,False,acres,FOR_SALE,74300320,"{'is_FSBA': True, 'is_openHouse': True}",/homedetails/19-Scotchpine-Ln-Merrimack-NH-03054/74300320_zpid/,,55,1738656000000.0,USA,USD,,True
6,"[{'url': 'https://photos.zillowstatic.com/fp/39eead9b4e9008b5d8efeb6c3e3b6252-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ee2f0b94f064077bbb9074f433847606-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4d50f3fed2dad3ef4dddadcdac99ccee-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a283e7a0cf9f647b81913cc0e9765114-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f4df5c8ec8e5ee79ed471db11b0c0d6e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8e7b080a12cc9d433c214f2bc6e716a6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/98fe9717bc667065095186b865b148d6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cda3d83a7ba0f82f2e4275443b263ab6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0f6b15eec94654f9bc87acecf61b07de-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/26ec7a3776a4c91942c771fe6538a60f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9b15e28ac6663612b8151228b4831b32-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/46a290d274dab93029e422850839d431-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6ef4db72b558d05678178b7adb1310f8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/761aa0432430b33d97d3a6c9a0af0d50-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2fc04e6c3f9cdcff25a8f2dd9fbed23a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0e20061b3a482d8a0be04e19a7cf9e5f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f99dc47ccd92586c5dcfde4811c0d91c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/40c70124ad6fef2ec3797dfef606d5a6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5c55324fc909f0a88e7790db59d31769-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/eef94141cfc1b65408df194de5724813-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d775739a6ad7fcf979b0ac130446cda8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4b443279db44009e6b453752cb3dee6f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6a9f88370e49f50c6f080ee1bf8bc44e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/26b511c337854207fc5b774b20712616-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6d2cbcecd0661b3d3fc44b74c6b8c9a3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f61dba7745bfe5b57e7a8b43f8e3d220-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b60838a0caf33251874409d6cc6016f5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/935aa2e69b67cea7c73a89a005f8b842-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e67e848603ed6e46d7c88d520e40b432-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8dfd780757b5a2903ac85eb8536be9d6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cc3ae7803d083ae8e3d1cf7e47f61738-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/71e9676722dc503cecafe8952d3fbf0f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/26ceb0bee6918d0369f01425e6a0973b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0e8e98797247ea48204bbe72a443a3ea-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2eacd12ff370359eed85a597205399e6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/653e40ebd07cb7e6287a15969c58b153-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9b3d03bd8f36e7343b74fb2136bc9168-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a883fa1086450282226d530311d8264c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1c7448074948734f89a0bf50035d372d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ff616485c9bd486023039922118b963e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ee46226dbf1e88c1f2f1af102b496437-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/999a8b31317eefee966591373307871d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1cf1f5196962fa16a244f2942a83d53e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9552f1b30af4ae830ded8d832b2321f0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c8a7fffa743a277c34c219a4146499ed-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b92bf76f6900ba6d78ba0f166162af96-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d60a6cf7bc3e88e3b1bc710bc50734bd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f9cae0575f851e20d28afd483888b300-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cdf31659f4091b36bb2ffbc8f7eb657d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0b94d349202e72aac4c1514a06005e17-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a335fd79bc2c9874fb404d8f0ec4038a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4b0232739c77f692db9fa9cf9690140f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3d590efef3a674ccd5ee119808eade9f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/367369127f7132992c2d1f48e879c43e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7e37a06f39b1eee23db1fff74bda4928-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ddf3efda942b92a4887ff62ae3c7273e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d509303c840135ccb1c5fa38600ca68e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/19922affede8494021174e684f39dfab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/dcaf1d7c14c1f7bf03d078ca80d78718-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8f003f837af8ff1c1cea309b67e9d820-p_e.jpg'}]",False,SINGLE_FAMILY,-71.53099,6462,"15 Wasserman Heights, Merrimack, NH 03054",,,,,https://photos.zillowstatic.com/fp/39eead9b4e9008b5d8efeb6c3e3b6252-p_e.jpg,42.828587,2400000,4,6.55,False,acres,FOR_SALE,92860303,{'is_FSBA': True},/homedetails/15-Wasserman-Hts-Merrimack-NH-03054/92860303_zpid/,,16,,USA,USD,,True
