LIST_NO,LIST_DATE,LEVELS_MF,ADDRESS,NO_BEDROOMS,FURNISHED_RN,HIGH_SCHOOL,LIST_OR_SALE_PRICE,LIST_PRICE,ORIG_PRICE,SQUARE_FEET,NEIGHBORHOOD,OFF_MKT_DATE,OFFER_DATE,RENT_FEE_INCLUDES_RN
73272933,8/2/24,,29A Jay Street U:29A,2,No,,3500,3550,3700,1212,,8/29/24,8/29/24,"Water, Sewerage Disposal"
73272940,8/2/24,,49 Mendon St U:B,3,,,2400,2400,2400,1700,,8/6/24,8/6/24,Water
73272943,8/2/24,,170 Gore Street U:509,1,,,2700,2700,2900,632,,9/7/24,9/7/24,"Water, Sewerage Disposal"
73272945,8/2/24,,71 Bryon Road U:71,3,,South,3200,3200,3200,1800,,8/20/24,8/20/24,"Water, Sewerage Disposal, Grounds Maintenance"
73272946,8/2/24,,9 DERBY ROAD U:2,3,No,,2900,2900,3275,1500,,8/31/24,8/31/24,"Water, Sewerage Disposal"
73272948,8/2/24,,551 Dudley Street U:4,1,,,1600,1600,1600,600,,9/2/24,8/20/24,"Hot Water, Water, Snow Removal"
73272957,8/2/24,,341 Belmont U:2,2,,,1850,1850,1850,1400,,8/19/24,8/19/24,"Hot Water, Water, Sewerage Disposal"
73272960,8/2/24,,60 Boylston St. U:1,2,,,3200,3150,3150,800,,8/16/24,8/16/24,"Sewerage Disposal, Refuse Removal"
73272965,8/2/24,,75 Chestnut St U:12,1,,,2800,2800,2800,490,,8/7/24,8/7/24,"Heat, Hot Water, Snow Removal"
73272967,8/2/24,,9 Charles U:4,2,,,2800,2800,2950,650,,8/9/24,8/9/24,"Water, Sewerage Disposal"
73272969,8/2/24,,753 E Broadway U:2,3,,,5000,4700,5000,1362,,9/5/24,8/30/24,"Water, Sewerage Disposal"
73272976,8/2/24,,35 Union U:1,3,No,,5250,5250,5250,2000,,8/7/24,8/7/24,"Snow Removal, Grounds Maintenance, Extra Storage, Garden Area, Occupancy Only, Parking "
73272977,8/2/24,,81 Jamaica U:2,2,,,2700,2700,2700,1000,,9/9/24,9/9/24,"Water, Sewerage Disposal"
73272981,8/2/24,,46 West Eagle St. U:1,2,,,2975,2975,2975,1010,,8/14/24,8/14/24,"Water, Sewerage Disposal"
73272989,8/2/24,,111 Bartlett U:1,1,No,,2550,2550,2700,731,,9/16/24,9/16/24,"Water, Sewerage Disposal, Refuse Removal, Extra Storage, Laundry Facilities, Parking "
73272993,8/2/24,,41 Edgerly Rd U:46,0,,,2750,2750,2750,320,,8/29/24,8/29/24,"Heat, Hot Water"
73272995,8/2/24,,35 Riverwalk Way U:219,1,No,,1900,1900,1900,667,,8/30/24,8/30/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Air Conditioning, Clubroom, Parking "
73273004,8/2/24,,214 Green Street U:2,2,No,,3000,3000,3400,850,,8/20/24,8/20/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance"
73273007,8/2/24,,285 Edge Hill Road U:1,1,No,,2250,2500,2500,1100,,9/10/24,9/5/24,"Heat, Hot Water, Electric, Air Conditioning, Parking "
73273016,8/2/24,,5 Paris Ave,4,No,,3800,3800,3800,1788,,8/23/24,8/20/24,"Occupancy Only, Parking "
73273019,8/2/24,,22 Brandee Lane U:22,2,No,,2500,2500,2500,1089,,8/30/24,8/30/24,"Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Swimming Pool, Parking "
73273023,8/2/24,,32R Bass Ave,3,Yes,,3000,3000,3000,1287,,10/15/24,10/15/24,"Heat, Water, Sewerage Disposal, Air Conditioning, Internet, Flood Insurance"
73273025,8/2/24,,70 Phillips Street U:6,1,No,,2900,2975,3500,470,,11/3/24,11/3/24,"Heat, Hot Water"
73273027,7/24/24,,15 Kenilworth U:15,2,,,2200,2200,2350,1000,,9/24/24,9/24/24,"Water, Sewerage Disposal, Parking , Paddle Tennis"
73273040,8/2/24,,200 Old Colony Ave. U:606,1,No,,2475,2475,3300,629,,8/21/24,8/19/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities"
73273041,8/2/24,,35 Everson Rd. U:35,3,,,2200,2200,2500,1200,,9/14/24,9/14/24,"Electric, Water, Sewerage Disposal, Refuse Removal, Paddle Tennis"
73273042,8/2/24,,25 Gore St U:1,4,,,4500,4500,4500,1800,,8/20/24,8/20/24,"Water, Sewerage Disposal"
73273043,8/2/24,,125 North Main Street U:125,2,No,,2250,2250,2250,1832,,8/12/24,8/12/24,"Water, Sewerage Disposal, Refuse Removal, Extra Storage, Garden Area, Laundry Facilities, Parking "
73273044,8/2/24,,70 Redington Street U:2,3,,,2900,2900,2950,1030,,10/11/24,10/10/24,"Water, Refuse Removal"
73273045,8/2/24,,9 Pond U:1,1,No,,2300,2300,2300,715,,8/11/24,8/6/24,"Water, Sewerage Disposal, Refuse Removal, Laundry Facilities"
73273048,8/2/24,,117 Pleasant St U:B2,3,,,3000,3000,3500,1000,,8/21/24,8/21/24,"Water, Sewerage Disposal"
73273049,8/2/24,,30 Park St. U:30,2,,,2950,2950,2700,950,,9/23/24,9/23/24,"Water, Sewerage Disposal, Refuse Removal, Paddle Tennis"
73273054,8/2/24,,14 Shadowbrook Ln U:27,2,No,,2000,2000,2000,1039,,8/15/24,8/15/24,"Heat, Gas, Water, Refuse Removal, Snow Removal, Grounds Maintenance, Tennis Court, Swimming Pool"
73273056,8/2/24,,17 Franklin Rd,4,,Lexington HS,8888,9000,9000,4544,,8/29/24,8/29/24,"Refuse Removal, Garden Area"
73273057,8/2/24,,19 Richmond Ave U:2,4,,,3600,3600,3600,1633,,11/4/24,11/4/24,"Water, Snow Removal, Parking "
73273063,8/2/24,,119 Pine St U:1,3,,,3500,3500,3500,900,,8/20/24,8/20/24,"Water, Sewerage Disposal"
73273064,8/2/24,,47 Longwood Ave U:3,3,,,2200,2100,2300,9999,,8/28/24,8/28/24,"Water, Snow Removal, Grounds Maintenance"
73273068,8/2/24,,70 Jamaicaway U:4,0,No,,1850,1925,1925,565,,9/4/24,9/4/24,"Refuse Removal, Snow Removal"
73273072,8/2/24,,1540 N Shore Road U:104,0,No,,2080,2080,2080,99999,,9/5/24,9/5/24,Water
73273074,8/2/24,,23 Forest Street U:1,5,No,,4100,4100,4300,2200,,2/28/25,2/28/25,"Water, Refuse Removal, Snow Removal, Laundry Facilities, Parking "
73273075,8/2/24,,366 Elliot St U:11,1,No,,2200,2200,2200,715,,8/11/24,8/11/24,"Heat, Hot Water, Sewerage Disposal, Snow Removal, Extra Storage"
73273076,8/2/24,,33 Russel U:2,3,No,,2100,2100,2100,1300,,8/13/24,8/13/24,"Water, Sewerage Disposal, Refuse Removal"
73273079,8/2/24,,1540 N Shore Road U:103,0,No,,2080,2080,2080,99999,,8/26/24,8/26/24,Water
73273083,8/2/24,,43 Faxon Road U:1,1,,,2050,2200,2100,550,,9/6/24,9/6/24,Refuse Removal
73273085,8/2/24,,11 Milford St,3,No,,2500,2500,2600,1061,,8/21/24,8/21/24,"Water, Sewerage Disposal, Other (See Remarks)"
73273089,8/2/24,,70 Bedford St,3,No,,4300,4300,4300,2152,,8/30/24,8/30/24,"Water, Sewerage Disposal"
73273090,8/2/24,,24 Upton St U:3,2,,,3850,3900,3900,635,,8/25/24,8/22/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal"
73273091,8/2/24,,3 Beacon st U:2r,4,,,4800,4800,4800,1100,,8/23/24,8/23/24,"Water, Sewerage Disposal"
73273092,8/2/24,,25 Lionel Ave U:D,2,No,,2400,2300,2300,780,,10/20/24,10/20/24,"Heat, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Laundry Facilities, Parking "
73273093,8/2/24,,55 FULLER STREET U:55,2,,,2300,2300,2300,834,,8/5/24,8/5/24,"Water, Sewerage Disposal"
73273100,8/2/24,,474 E 7th St U:Unit 2,2,No,,3300,3300,3300,1300,,8/15/24,8/15/24,"Water, Sewerage Disposal"
73273102,7/31/24,,62 Bellvista Rd U:1,1,,,2150,2125,2125,800,,8/12/24,8/12/24,"Heat, Hot Water, Water, Sewerage Disposal"
73273103,8/2/24,,425 Newbury St U:C-111,0,,,420,450,450,125,,8/28/24,8/28/24,Parking 
73273105,8/2/24,,204 I St U:1,2,,,3400,3600,3600,850,,9/1/24,9/1/24,"Water, Sewerage Disposal"
73273112,8/1/24,,230 Lexington St U:3,2,,,2150,2150,2250,99999,,1/16/25,1/16/25,"Water, Sewerage Disposal"
73273113,8/2/24,,28 Egerton Rd U:1,2,No,Arlington High,2800,2800,2800,1124,,8/7/24,8/7/24,"Water, Sewerage Disposal, Refuse Removal, Extra Storage, Laundry Facilities, Parking "
73273120,8/2/24,,335-337 Windsor St U:335,4,,,3300,3300,5200,1020,,10/15/24,10/15/24,Water
73273122,8/2/24,,500 Washington st U:203,2,,,2300,2300,2400,928,,9/6/24,9/6/24,"Water, Sewerage Disposal, Laundry Facilities, Parking "
73273125,7/31/24,,71 Marshall St U:2,3,,,2900,2900,2900,1000,,8/15/24,8/15/24,"Water, Sewerage Disposal"
73273127,8/2/24,,335-337 Windsor St U:337,4,,,4500,4500,5200,1020,,9/1/24,9/1/24,Water
73273132,8/2/24,,351 East 8th St U:3,1,,,2300,2300,2800,99999,,12/1/24,12/1/24,Water
73273136,8/2/24,,112 Revere U:10,1,,,3400,3500,3500,900,,8/9/24,8/9/24,"Heat, Hot Water, Water, Sewerage Disposal"
73273137,8/2/24,,217 Bemis rd U:1,3,No,,2200,2100,2100,1000,,10/22/24,10/9/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance, Occupancy Only, Laundry Facilities, Parking "
73273140,8/2/24,,589 Essex St U:208,2,No,,2800,2800,2800,1156,,8/20/24,8/20/24,"Water, Sewerage Disposal, Occupancy Only"
73273144,8/2/24,,23 Old Lowell Road,4,No,Westfrd Academy,4650,4800,4800,2830,,8/12/24,8/12/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance, Swimming Pool, Extra Storage, Parking "
73273145,8/2/24,,92 Alexander U:1,2,,,3200,3200,3200,750,,9/27/24,9/27/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Parking "
73273147,8/2/24,,56 Johnson Street U:15,2,No,,1990,1990,1950,650,,10/16/24,10/16/24,Hot Water
73273149,8/2/24,,75 Yorktown Dr. U:75,2,,,2300,2300,2300,888,,8/15/24,8/5/24,"Heat, Water, Refuse Removal, Snow Removal, Grounds Maintenance, Tennis Court, Swimming Pool, Parking "
73273150,8/2/24,,231 Main Street U:2,2,,,4500,4500,4700,1065,,9/20/24,9/20/24,"Water, Sewerage Disposal, Air Conditioning, Laundry Facilities, Parking "
73273151,8/2/24,,59 E Central St U:1,3,No,,2000,2000,2000,1100,,8/25/24,8/25/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance, Extra Storage, Air Conditioning, Laundry Facilities"
73273152,8/2/24,,149 Webster Street U:2,2,No,,3100,3100,3300,836,,8/27/24,8/27/24,"Water, Sewerage Disposal, Refuse Removal"
73273155,8/2/24,,449 Beacon Street U:Parking,0,,,315,315,350,0,,1/26/25,1/25/25,Parking 
73273157,8/2/24,,290 Pleasant St U:207,1,Yes,,2400,2695,2900,762,,9/1/24,9/1/24,"Heat, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Air Conditioning, Laundry Facilities, Parking , Flood Insurance"
73273158,8/2/24,,180 Washington Street U:Top,4,No,,4000,4000,4200,1100,,8/17/24,8/16/24,"Water, Sewerage Disposal, Snow Removal"
73273160,8/2/24,,153 Brayton Rd U:2,2,No,,3000,2800,3000,1200,,8/17/24,8/13/24,"Water, Sewerage Disposal"
73273162,8/2/24,,1407 Beacon St. U:2B,2,,,2500,2500,2600,810,,8/18/24,8/17/24,"Heat, Hot Water"
73273165,8/2/24,,259 Mountain Avenue U:1,3,,,2975,2975,3300,1800,,9/12/24,9/12/24,"Water, Sewerage Disposal, Refuse Removal, Extra Storage, Laundry Facilities, Parking "
73273172,8/2/24,,146 Salem U:5,2,,,3400,3400,3400,668,,8/23/24,8/23/24,"Heat, Hot Water, Water, Sewerage Disposal"
73273175,8/2/24,,95 Upland Road U:1,1,No,,2600,2600,2700,500,,8/31/24,8/31/24,"Water, Sewerage Disposal, Snow Removal"
73273179,8/2/24,,15 Bemuth Rd U:15,5,No,,4000,4000,4600,2250,,10/30/24,10/28/24,Occupancy Only
73273182,8/2/24,,3 Sorrento St,4,,Doherty,2600,2600,3200,1420,,10/5/24,10/5/24,"Water, Grounds Maintenance"
73273187,8/2/24,,244 Page Street U:B,2,No,Avon Middle HS,2500,2500,2500,1100,,1/17/25,1/15/25,"Water, Refuse Removal, Grounds Maintenance, Extra Storage, Internet"
73273192,8/2/24,,25 Howland St U:3,1,No,,2500,2500,3000,675,,9/14/24,9/14/24,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Occupancy Only, Parking "
73273201,8/2/24,,259 Beacon St U:72,2,Partial,,4500,4500,4500,772,,8/18/24,8/18/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal"
73273203,8/1/24,,25 Wohelo Dr U:2,1,No,,2150,2150,2150,1092,,8/14/24,8/14/24,"Heat, Electric, Gas, Water"
73273206,8/2/24,,79 Mattapoisett Neck Rd. U:WINTER,3,Yes,ORRHS,1850,1850,1850,1514,,8/10/24,8/10/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance, Laundry Facilities, Parking "
73273212,8/2/24,,156 Squanto Road,3,,,3300,3200,3200,1920,,9/3/24,9/3/24,"Occupancy Only, Laundry Facilities"
73273213,8/2/24,,51 Will Dr U:127,1,No,,1900,2000,2000,676,,8/23/24,8/14/24,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Swimming Pool, Extra Storage, Garden Area, Air Conditioning, Laundry Facilities, Parking "
73273214,8/2/24,,148 Belmont Road,3,Partial,,3250,3250,3350,1611,,10/1/24,10/1/24,Water
73273217,8/2/24,,4 Vincent Ave. U:2,4,,,4500,4500,4500,1900,,8/18/24,8/18/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance, Extra Storage"
73273222,8/2/24,,41 Sturtevant Ave U:3,2,No,Norwood HS,2650,2700,2700,1000,,8/23/24,8/23/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Extra Storage"
73273223,8/2/24,,16 Tudor St. U:7,2,,,2700,2700,2900,1300,,9/19/24,9/19/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance"
73273224,8/2/24,,184 West St U:1,3,No,,2700,2800,3280,1107,,8/12/24,8/12/24,"Water, Sewerage Disposal, Parking "
73273226,8/2/24,,25 South St. U:2,1,,,2450,2450,2650,980,,9/3/24,9/3/24,"Heat, Hot Water"
73273232,8/3/24,,220 Apache Way U:220,2,,,2500,2500,2500,1274,,8/13/24,8/12/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Tennis Court, Air Conditioning, Laundry Facilities, Parking "
73273234,8/3/24,,111 Warren Ave U:2F,1,,,1950,1850,1850,610,,8/16/24,8/16/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal"
73273235,8/3/24,,36 Montgomergy Street U:1,3,,,5250,5250,5250,1282,,8/24/24,8/24/24,"Heat, Hot Water"
73273238,8/3/24,,46 Irving Street U:2,1,No,,3000,3000,3000,844,,8/19/24,8/19/24,"Heat, Hot Water, Electric, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance"
73273239,8/3/24,,55 Lagrange St U:701,0,No,,3000,3000,3200,537,,8/17/24,8/17/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance"
73273241,8/3/24,,12 Auburn Street U:3,1,No,Woburn Memorial,1950,1950,1950,1000,,8/10/24,8/10/24,"Water, Sewerage Disposal, Refuse Removal"
73273249,8/3/24,,12 Alexander U:12,1,No,Clinton High,1495,1495,1495,700,,8/28/24,8/28/24,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Laundry Facilities, Parking "
73273257,8/3/24,,22 Thacher U:4,1,No,,2600,2650,2650,9999,,8/14/24,8/14/24,"Water, Sewerage Disposal"
73273264,8/3/24,,362 Commonwealth Ave U:2H,1,,,3500,3500,3500,581,,8/20/24,8/20/24,"Heat, Hot Water, Gas, Water, Refuse Removal, Snow Removal, Grounds Maintenance, Laundry Facilities, Security"
73273267,8/3/24,,1370 Pleasant Street U:1,3,,,2700,2700,2900,1200,,10/9/24,10/9/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal"
73273269,8/3/24,,113 White St U:3,3,,Belmont High,4700,4550,4750,1923,,9/7/24,9/7/24,"Refuse Removal, Snow Removal, Grounds Maintenance, Extra Storage, Garden Area, Laundry Facilities, Parking "
73273273,8/3/24,,10 Clarke Rd,5,No,,5500,5500,5500,2166,,8/12/24,8/12/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance"
73273275,8/3/24,,29 Charter U:4,1,,,3000,3000,3000,9999,,9/4/24,9/4/24,"Water, Sewerage Disposal"
73273278,8/3/24,,46 Ober Rd U:46,1,,,2400,2400,2500,838,,8/22/24,8/22/24,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Tennis Court, Swimming Pool, Garden Area, Laundry Facilities, Parking "
73273285,8/3/24,,39 Greenwich street U:1,1,,,2200,2250,2500,500,,10/9/24,10/9/24,"Water, Sewerage Disposal, Laundry Facilities"
73273286,8/3/24,,279 Concord Avenue U:3,4,,,4925,5000,5000,1300,,10/1/24,8/14/24,Water
73273287,8/3/24,,26 Crowley Dr,4,,,4500,4500,4500,2496,,9/29/24,9/19/24,Other (See Remarks)
73273294,8/3/24,,49 Boston Ave U:49,3,,,4000,4000,4300,1785,,9/25/24,9/9/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance"
73273297,8/3/24,,131 West 7th St U:1,2,,,3500,3500,3500,900,,9/15/24,9/15/24,"Water, Occupancy Only"
73273308,8/3/24,,164 Lowell St U:1,2,No,LHS,2500,2500,2500,1140,,8/19/24,8/13/24,"Water, Sewerage Disposal, Refuse Removal, Extra Storage, Laundry Facilities, Parking "
73273309,8/3/24,,134 Emerson Gardens Rd U:134,2,No,,3000,3000,3200,1440,,8/27/24,8/27/24,"Heat, Hot Water, Refuse Removal, Snow Removal, Grounds Maintenance, Swimming Pool, Air Conditioning"
73273315,8/3/24,,23 Harrison St U:1,2,,,2500,2500,2800,750,,10/1/24,10/1/24,"Water, Sewerage Disposal, Refuse Removal, Parking "
73273316,8/3/24,,67 Montgomery St U:1,3,,,7050,6950,6950,1595,,8/12/24,8/12/24,"Water, Sewerage Disposal, Refuse Removal"
73273319,8/3/24,,17 Otis St U:106,1,No,,3100,3100,3100,816,,8/8/24,8/8/24,"Sewerage Disposal, Refuse Removal, Grounds Maintenance, Extra Storage, Garden Area, Laundry Facilities, Parking "
73273320,8/3/24,,14 Jouvette U:B3,2,No,,1650,1650,1650,800,,8/8/24,8/8/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73273321,8/3/24,,136R Main St U:2,2,,,2245,2245,2300,864,,8/29/24,8/29/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Laundry Facilities"
73273325,8/3/24,,112 Dudley U:1,2,No,,2500,2600,2600,1000,,8/13/24,8/13/24,"Water, Sewerage Disposal"
73273326,8/3/24,,47 Iffley U:3,3,No,,3500,3500,3500,963,,8/16/24,8/16/24,Other (See Remarks)
73273327,8/3/24,,40 Montcalm Street U:1,3,No,Chicopee Comp,2500,2500,2800,1471,,10/11/24,10/11/24,"Heat, Hot Water, Gas, Water, Refuse Removal, Snow Removal, Grounds Maintenance, Occupancy Only, Laundry Facilities, Parking "
73273332,8/3/24,,73 Sterling Lane U:73,2,No,,2300,2300,2600,1757,,9/17/24,9/17/24,"Snow Removal, Grounds Maintenance, Occupancy Only"
73273335,8/3/24,,79 Branch Street U:1,1,,,1600,1600,1600,900,,9/5/24,9/5/24,Water
73273339,8/3/24,,77 Adams Street U:404,2,No,,2700,2700,2800,1010,,9/6/24,8/29/24,Hot Water
73273340,8/3/24,,47 Colborne Rd U:6,2,,,2400,2400,2400,900,,8/22/24,8/9/24,"Heat, Hot Water, Water, Refuse Removal, Snow Removal, Swimming Pool, Parking "
73273342,8/3/24,,52 Buffum St. U:2R,1,No,,1950,1975,1975,648,,8/22/24,8/9/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73273344,8/3/24,,31-33 Harvard U:1,3,No,,3100,3200,3400,99999,,9/7/24,9/7/24,"Water, Sewerage Disposal"
73273345,8/3/24,,123 Clement Ave U:1,2,,,2600,2600,2600,1100,,8/17/24,8/17/24,Water
73273346,8/3/24,,301 North Main Street U:1,2,,,2500,2250,2350,800,,10/4/24,9/25/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance"
73273347,8/3/24,,12 Oak Ridge Drive U:3,2,No,,3200,3200,3200,1975,,8/21/24,8/21/24,"Sewerage Disposal, Snow Removal, Recreational Facilities, Grounds Maintenance, Swimming Pool, Garden Area, Air Conditioning, Clubroom, Laundry Facilities, Parking "
73273348,8/3/24,,8 Mount Vernon Street U:8,2,,,6000,6000,6000,2129,,8/23/24,8/23/24,"Water, Sewerage Disposal, Snow Removal"
73273357,8/3/24,,24 Eaton Street U:1,3,,,3000,3200,3200,1400,,8/23/24,8/23/24,"Water, Parking "
73273361,8/3/24,,21 Linden St. U:409,1,No,,2300,1980,1980,570,,8/6/24,8/6/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance, Parking "
73273362,8/3/24,,248 East Street U:House,2,,,2400,2400,2400,1002,,8/5/24,8/5/24,Sewerage Disposal
73273363,8/3/24,,135 Billings Road U:2/F,3,No,,2600,2600,2600,1200,,8/16/24,8/16/24,"Water, Sewerage Disposal"
73273365,8/3/24,,466 Park Ave U:4,3,No,,2100,2100,2100,1300,,8/28/24,8/15/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance, Laundry Facilities, Parking "
73273370,8/3/24,,280 Lakewood Drive U:X,3,Partial,,3250,3250,3750,3523,,8/27/24,8/21/24,"Water, Refuse Removal, Grounds Maintenance"
73273376,8/3/24,,18 Johnson Ave U:1,2,No,,2800,2800,3000,1097,,11/7/24,10/15/24,"Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73273378,8/3/24,,405 Langley Road U:2,2,,South,2995,2995,2995,1450,,8/31/24,8/30/24,"Heat, Hot Water, Electric, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Extra Storage, Parking "
73273381,8/3/24,,30 south street U:1,3,No,,3000,3000,3000,9999,,8/27/24,8/27/24,"Water, Sewerage Disposal"
73273383,8/3/24,,383 Whitney Street,4,No,Algonquin,3400,3400,3400,2327,,8/10/24,8/7/24,"Sewerage Disposal, Snow Removal, Parking "
73273388,8/3/24,,113 SOUTHGATE ST U:3,1,,,1200,1200,1300,820,,8/19/24,8/19/24,Hot Water
73273389,8/3/24,,30 Westgate Rd U:6,2,,,2400,2400,2400,775,,8/21/24,8/21/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Occupancy Only, Air Conditioning, Laundry Facilities, Parking "
73273396,8/3/24,,21 Brandon Road U:2,2,No,,3700,3950,3950,1500,,8/27/24,8/17/24,"Water, Snow Removal, Grounds Maintenance, Extra Storage, Parking "
73273399,8/4/24,,15 Carl St,3,No,Newton South,3900,4000,4500,1538,,10/19/24,10/19/24,"Occupancy Only, Laundry Facilities"
73273404,8/3/24,,61 Baker St. U:61,4,No,Belmont High,5200,5200,5500,2700,,9/6/24,8/26/24,"Water, Sewerage Disposal"
73273405,8/3/24,,12 Hodges Ct,3,No,,3600,3600,3800,1125,,9/11/24,9/11/24,"Extra Storage, Parking "
73273406,8/3/24,,382 Commonwealth Ave U:32,2,,,3475,3475,3575,877,,8/13/24,8/13/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Extra Storage, Laundry Facilities"
73273407,8/3/24,,431 Weir Street U:2,1,No,,1596,1600,1600,402,,8/27/24,8/27/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance"
73273411,8/4/24,,306 W. Main Street U:1,2,No,,2350,2200,2200,850,,9/11/24,9/8/24,"Water, Refuse Removal"
73273414,8/4/24,,42 Highland St U:2,3,Unknown,Lowell High,3400,3400,3400,2409,,10/9/24,10/9/24,"Water, Sewerage Disposal, Refuse Removal"
73273421,8/4/24,,1074 Boylston street U:3,1,,,2800,2800,2800,700,,8/16/24,8/16/24,"Sewerage Disposal, Refuse Removal, Snow Removal"
73273423,8/4/24,,87 Oakland Street U:2A,2,No,,2800,2800,2900,1100,,9/11/24,9/11/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Parking "
73273424,8/4/24,,54 Crockett Ave U:2,3,,,3200,3200,3200,1200,,8/8/24,8/8/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal"
73273426,8/4/24,,534 Massachusetts Ave. U:1,1,,,2750,2750,2750,855,,8/23/24,8/23/24,"Water, Sewerage Disposal"
73273427,8/4/24,,16 Spaulding Street U:B,2,,,1750,1750,1750,950,,9/14/24,9/14/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance"
73273428,8/4/24,,40 Greenleaf St U:206,2,No,,2700,2700,2700,1684,,8/21/24,8/21/24,"Water, Sewerage Disposal, Snow Removal"
73273429,8/4/24,,220 Old Turnpike Rd,3,No,,2500,2500,2600,1591,,1/25/25,1/19/25,Sewerage Disposal
73273430,8/4/24,,40 Dudley St. U:2,3,No,John D. O'Bryan,4500,4500,4500,2000,,10/1/24,9/18/24,"Heat, Hot Water, Electric, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Occupancy Only, Air Conditioning"
73273432,8/4/24,,1 Jackson Way,2,Yes,,1900,1900,2350,700,,12/1/24,11/28/24,"Refuse Removal, Furnishings (See Remarks)"
73273435,8/4/24,,24 Columbia,3,,,2750,2750,2750,1550,,9/20/24,9/14/24,"Furnishings (See Remarks), Parking "
73273437,8/4/24,,215 Winter Street U:0,2,,,2200,2200,2200,1000,,8/14/24,8/14/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Swimming Pool, Parking , Security"
73273438,8/4/24,,203 Northern Ave U:0,3,Yes,,2900,3000,3300,1100,,11/19/24,11/1/24,Refuse Removal
73273444,8/4/24,,41 Foundry St U:14-10,2,No,,2000,2000,2500,1025,,10/20/24,10/20/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Extra Storage, Air Conditioning, Laundry Facilities"
73273446,8/4/24,,151 Tremont Street U:22M,0,No,,3200,3200,3200,590,,8/18/24,8/18/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Recreational Facilities, Swimming Pool, Air Conditioning, Clubroom, Security"
73273447,8/4/24,,435 Medford St. U:2,1,,,2300,2300,2300,523,,8/15/24,8/11/24,Water
73273449,8/4/24,,46 Landing Road(WINTER RENTAL),1,Yes,,2750,2750,2750,1600,,9/6/24,9/6/24,"Water, Snow Removal, Grounds Maintenance, Furnishings (See Remarks), Air Conditioning, Parking , Internet"
