LIST_NO,LIST_DATE,LEVELS_MF,ADDRESS,NO_BEDROOMS,FURNISHED_RN,HIGH_SCHOOL,LIST_OR_SALE_PRICE,LIST_PRICE,ORIG_PRICE,SQUARE_FEET,NEIGHBORHOOD,OFF_MKT_DATE,OFFER_DATE,RENT_FEE_INCLUDES_RN
73280014,8/21/24,,16 Haverford Street U:2,3,No,,2600,2600,2800,1200,,10/30/24,10/30/24,"Water, Sewerage Disposal, Occupancy Only"
73280017,8/21/24,,12 Alpine St U:2,4,,,3000,3000,3000,1150,,10/16/24,10/16/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance, Parking "
73280032,8/21/24,,773 Massachusetts Ave U:B10,2,No,,2100,2100,2100,784,,8/29/24,8/29/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Tennis Court, Swimming Pool, Playground, Laundry Facilities"
73280037,8/21/24,,229 Maverick St U:1,2,No,,3200,3200,3200,920,,9/3/24,9/3/24,"Water, Sewerage Disposal"
73280040,8/21/24,,21 Heldun St U:2,2,,,2750,2750,3000,1200,,1/22/25,1/9/25,"Water, Sewerage Disposal, Refuse Removal"
73280047,8/19/24,,13R Lincoln Road U:0,2,,,3450,3400,3800,1044,,9/16/24,9/16/24,Occupancy Only
73280049,8/21/24,,140 Swanson Rd U:422,2,No,AB High,1600,1700,1800,794,,10/28/24,10/28/24,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73280052,8/21/24,,81-83 Fairmont St U:83,2,,,2250,2250,2295,999,,9/17/24,9/17/24,Occupancy Only
73280061,8/21/24,,186 Emerson Street U:1,2,No,,2750,2950,3100,901,,8/30/24,8/30/24,"Water, Sewerage Disposal, Refuse Removal"
73280070,8/21/24,,16 Arizona Terrace U:6,1,No,,2100,2100,2100,588,,9/7/24,9/7/24,"Heat, Hot Water, Water, Sewerage Disposal, Snow Removal, Recreational Facilities, Grounds Maintenance, Swimming Pool, Laundry Facilities, Parking "
73280074,8/21/24,,1011 Middlsex 4 U:4,2,No,,2200,2200,2200,920,,8/27/24,8/27/24,"Refuse Removal, Snow Removal, Grounds Maintenance"
73280084,8/21/24,,334 Walpole St,5,,,4900,5000,4500,2400,,9/6/24,9/6/24,"Water, Refuse Removal"
73280092,8/21/24,,6 Chatham Street U:302,1,,,2000,2000,2000,559,,9/13/24,9/13/24,"Water, Cable TV, Internet, Other (See Remarks)"
73280100,8/21/24,,1 Canal St. U:PH 1127,2,No,,6560,6560,6995,1150,,12/9/24,12/9/24,"Hot Water, Gas, Refuse Removal, Snow Removal, Recreational Facilities, Swimming Pool"
73280102,8/21/24,,45 Chestnut Avenue U:3,1,No,,2100,2250,2250,9999,,9/1/24,9/1/24,"Water, Grounds Maintenance"
73280112,8/21/24,,18 Roberts Street U:2,1,No,,2250,2250,2400,700,,10/15/24,10/15/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Extra Storage"
73280113,8/21/24,,39 Dorchester Street U:7,2,No,,4000,4000,4200,1220,,9/10/24,9/10/24,"Water, Sewerage Disposal, Refuse Removal, Parking "
73280125,8/21/24,,408 East Water U:2,2,Partial,,1800,1800,1800,820,,9/9/24,9/9/24,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Extra Storage, Parking "
73280138,8/21/24,,40 Ames Ave U:301,2,,,2800,2800,2800,900,,9/16/24,9/16/24,"Water, Snow Removal, Grounds Maintenance"
73280140,8/21/24,,42 Dudley Street U:3,1,,,1800,1800,1800,725,,9/6/24,9/6/24,"Water, Sewerage Disposal"
73280149,8/21/24,,60 Babcock U:21,1,,,3180,3300,3300,800,,10/12/24,10/12/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal"
73280152,8/21/24,,84 W. Cedar St. U:6,0,No,,1950,1950,1950,335,,9/1/24,9/1/24,"Heat, Hot Water, Water, Sewerage Disposal"
73280154,8/21/24,,118 Perkins Street U:3,2,No,,3500,3500,3500,1074,,9/13/24,9/13/24,"Water, Sewerage Disposal, Extra Storage, Laundry Facilities"
73280159,8/21/24,,280 Commonwealth Avenue U:PH406,1,No,,3495,3495,3495,567,,9/10/24,9/10/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance"
73280160,8/21/24,,889 Elm St U:0,3,,,3000,3000,3000,1600,,9/11/24,9/6/24,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance, Laundry Facilities, Parking "
73280168,8/20/24,,38 Ivan,7,,,6000,5999,6800,2925,,11/22/24,11/22/24,"Laundry Facilities, Parking "
73280172,8/21/24,,1 Franklin St U:5204,3,Yes,,13500,13500,13500,2186,,11/19/24,11/12/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Swimming Pool, Air Conditioning, Clubroom, Laundry Facilities, Parking , Security"
73280173,8/21/24,,1 Hammond St,3,No,,3400,3400,3400,1500,,11/1/24,11/1/24,"Water, Sewerage Disposal, Grounds Maintenance"
73280177,8/21/24,,326 W Broadway U:4,3,,,5000,5000,6100,1450,,1/11/25,1/11/25,"Water, Sewerage Disposal, Laundry Facilities"
73280186,8/21/24,,360 Washington St U:203,2,No,,2700,2700,2700,1074,,9/25/24,9/25/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73280204,8/21/24,,16 Chauncy U:23,2,,,2795,2795,3300,800,,8/28/24,8/28/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Laundry Facilities"
73280209,8/21/24,,80 Bridge St U:100,2,No,Dedham,2850,2850,2950,1075,,10/18/24,10/18/24,"Water, Sewerage Disposal"
73280216,8/21/24,,80 Bridge St U:305,2,No,Dedham,2800,2800,2800,997,,9/25/24,9/25/24,"Water, Sewerage Disposal"
73280220,8/21/24,,46 Calhoun Avenue U:2,2,,,2500,2500,2500,800,,10/22/24,10/9/24,"Refuse Removal, Parking "
73280221,8/21/24,,1 Craigie U:36,2,No,,2750,2750,2750,750,,10/29/24,10/29/24,"Heat, Hot Water, Water, Refuse Removal, Snow Removal, Grounds Maintenance"
73280223,8/21/24,,46 Calhoun Avenue U:3,1,,,2100,2100,2100,550,,9/26/24,9/10/24,"Refuse Removal, Parking "
73280224,8/21/24,,39 O'CONNOR AVE U:1L,2,No,,1500,1500,1500,1100,,9/16/24,9/16/24,"Heat, Hot Water, Water, Sewerage Disposal, Snow Removal, Laundry Facilities"
73280247,8/21/24,,280 Western Avenue U:202,1,No,,2950,2950,2950,576,,9/4/24,9/4/24,Laundry Facilities
73280253,8/21/24,,160 School Street U:3-2,2,No,,3000,3000,3000,1256,,9/15/24,9/3/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73280256,8/21/24,,25 Avon St. U:1,3,No,,3200,3500,3200,1100,,10/29/24,10/29/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Extra Storage, Laundry Facilities, Parking "
73280263,8/21/24,,17 Dexter U:2,3,,,2400,2400,2400,900,,8/29/24,8/27/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Swimming Pool"
73280270,8/21/24,,33 Valley Road U:33,4,No,Arlington,4200,4600,5000,2881,,10/19/24,10/19/24,"Water, Sewerage Disposal, Refuse Removal, Parking "
73280279,8/21/24,,288 main U:202,0,,,1550,1550,1550,650,,8/23/24,8/23/24,"Water, Sewerage Disposal, Snow Removal"
73280287,8/21/24,,2 Hawthorne Pl. U:12F,0,,,2330,2330,2450,545,,9/20/24,9/20/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance"
73280288,8/21/24,,148 Groton Rd U:B,2,,,2199,2199,2499,1056,,10/25/24,10/25/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Occupancy Only, Parking "
73280299,8/21/24,,9-11 Greenwood U:2,6,,,2250,2300,1900,1600,,9/12/24,9/12/24,Water
73280304,8/21/24,,127 King Street U:203,2,No,Franklin,1850,1850,1850,885,,8/26/24,8/26/24,"Heat, Hot Water, Refuse Removal, Snow Removal, Swimming Pool, Extra Storage, Laundry Facilities"
73280318,8/21/24,,670 Bedford Street U:202,1,,,2000,2050,2050,800,,9/24/24,9/24/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73280322,8/21/24,,466 Commonwealth Ave U:304,0,No,,2100,2100,2100,9999,,8/29/24,8/29/24,"Heat, Hot Water, Snow Removal"
73280323,8/21/24,,32 Sidlaw Rd U:1,2,,,2450,2450,2700,613,,9/8/24,9/8/24,"Heat, Hot Water, Water, Sewerage Disposal"
73280378,8/21/24,,104 Heron Lane U:104,3,No,,4975,4975,4975,1854,,11/22/24,11/22/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance"
73280379,8/21/24,,141 Pleasant Street U:2,2,No,,3200,3200,3500,1300,,10/18/24,10/18/24,Occupancy Only
73280381,8/21/24,,36 Lionel Avenue U:E,2,No,,2500,2500,2950,780,,12/22/24,12/22/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Swimming Pool, Laundry Facilities"
73280382,8/21/24,,7 Winthrop Heights Dr U:A,3,No,,3000,3000,3000,1613,,9/30/24,9/30/24,"Snow Removal, Grounds Maintenance, Parking "
73280384,8/21/24,,14 Summer U:2,2,No,,2450,2350,2350,1098,,8/29/24,8/29/24,Water
73280395,8/21/24,,1243 Beacon St U:8B,2,No,,3900,4000,4000,890,,9/12/24,9/12/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance, Laundry Facilities"
73280408,8/21/24,,80 Pleasant St. U:2,1,No,,1500,1500,1500,300,,9/13/24,8/30/24,"Water, Refuse Removal, Laundry Facilities"
73280416,8/21/24,,31 Dennison Ave U:10,1,No,,1700,1700,1700,800,,8/22/24,8/22/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance"
73280430,8/21/24,,855 Temple St. U:B1,3,No,,3200,3300,3300,1300,,9/16/24,9/16/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Grounds Maintenance, Parking "
73280432,8/21/24,,103 Grove U:313,1,No,,1850,1850,2000,632,,9/25/24,9/25/24,"Heat, Hot Water, Water, Sewerage Disposal, Snow Removal, Grounds Maintenance, Swimming Pool, Air Conditioning, Laundry Facilities"
73280435,8/21/24,,60 Shaw Drive,5,,Wayland Public,5665,5950,7500,3283,,10/17/24,10/17/24,"Snow Removal, Grounds Maintenance"
73280439,8/21/24,,152 Old Colony U:7,2,No,,3800,3800,3800,1145,,9/5/24,8/31/24,"Water, Sewerage Disposal, Snow Removal, Parking "
73280450,8/21/24,,45 Jacqueline Rd U:2,2,No,,2700,2700,2700,921,,9/14/24,9/14/24,"Heat, Hot Water, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Tennis Court, Swimming Pool, Extra Storage, Garden Area, Laundry Facilities"
73280452,8/21/24,,252 River U:1,2,,,2250,2250,2450,800,,11/13/24,11/13/24,"Extra Storage, Parking "
73280463,8/21/24,,212 WORCESTER STREET U:2L,2,No,,2200,2200,2200,1000,,9/7/24,8/25/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Parking "
